
   INFO  Server running on [http://0.0.0.0:12000].  

  Press Ctrl+C to stop the server
  2025-05-24 09:36:24 /images/logo-white.png ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.08ms
  2025-05-24 09:38:03 /admin/settings/cache/clear .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.11ms
  2025-05-24 09:38:03 /admin/settings/cache ................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................ ~ 0.06ms
  2025-05-24 09:38:03 /images/logo-white.png ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.04ms
  2025-05-24 09:38:14 /admin/settings/cache/optimize ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.09ms
  2025-05-24 09:38:14 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.05ms
  2025-05-24 09:38:22 /admin/settings/cache ................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................ ~ 0.11ms
  2025-05-24 09:38:23 /images/logo-white.png ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.03ms
  2025-05-24 09:38:29 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.11ms
  2025-05-24 09:38:32 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.09ms
  2025-05-24 09:38:36 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.11ms
  2025-05-24 09:38:39 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.13ms
  2025-05-24 09:38:43 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.13ms
  2025-05-24 09:38:47 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.11ms
  2025-05-24 09:38:50 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.10ms
  2025-05-24 09:38:53 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.12ms
  2025-05-24 09:38:55 /admin/users ......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.25ms
  2025-05-24 09:38:55 /images/logo-white.png ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.06ms
  2025-05-24 09:38:56 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.11ms
  2025-05-24 09:39:00 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.10ms
  2025-05-24 09:39:15 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.14ms
  2025-05-24 09:39:18 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.10ms
  2025-05-24 09:39:21 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.14ms
  2025-05-24 09:39:40 /admin/users/1 ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.12ms
  2025-05-24 09:39:40 /images/logo-white.png ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.14ms
  2025-05-24 09:39:52 /admin/users ......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.13ms
  2025-05-24 09:39:53 /images/logo-white.png ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.05ms
  2025-05-24 09:39:59 /admin/users/create .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................. ~ 0.11ms
  2025-05-24 09:40:00 /images/logo-white.png ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.11ms
  2025-05-24 09:40:10 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................. ~ 500.33ms
  2025-05-24 09:40:13 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.12ms
  2025-05-24 09:40:16 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.12ms
  2025-05-24 09:40:19 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.14ms
  2025-05-24 09:40:23 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.11ms
  2025-05-24 09:40:23 /admin/users ......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.10ms
  2025-05-24 09:40:23 /admin/users/create .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................. ~ 0.06ms
  2025-05-24 09:40:23 /images/logo-white.png ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.06ms
  2025-05-24 09:41:28 /admin/users/create .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................. ~ 0.11ms
  2025-05-24 09:41:28 /images/logo-white.png ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.06ms
  2025-05-24 09:42:01 /admin/users ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 500.34ms
  2025-05-24 09:42:01 /admin/users/4 ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.03ms
  2025-05-24 09:42:01 /images/logo-white.png ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.03ms
  2025-05-24 09:45:05 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.09ms
  2025-05-24 09:45:09 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.10ms
  2025-05-24 09:45:12 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.09ms
  2025-05-24 09:45:15 / .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................... ~ 0.09ms
